,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
22949,248774,Obvious Child,/pPrL08T3aTATKKailk1IMSTK4gj.jpg,"An immature, newly unemployed comic must navigate the murky waters of adulthood after her fling with a graduate student results in an unplanned pregnancy.",0, Comedy Romance,2014-06-06,6.480574,3123963.0,E.L. Katz, Pat Healy Ethan Embry Sara Paxton, suspense mumblegore
22979,82703,Mr. Peabody & Sherman,/wGRWVfhMdGIThSDld2965oUkJ5E.jpg,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed.",145000000, Animation Adventure Family,2014-02-07,9.493838,272912430.0,Jonathan Glazer, Scarlett Johansson Kryštof Hádek Paul Brannigan, male nudity scotland edinburgh alien very little dialogue
22980,97370,Under the Skin,/vYbCF0Hn6f4kVtOtVF3FiktiiXd.jpg,"Jonathan Glazer's atmospheric, visually arresting abstraction stars Scarlett Johansson as a seductive alien who prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.",13300000, Thriller Science Fiction Drama,2014-03-14,6.707974,5380251.0,Scott Waugh, Aaron Paul Dominic Cooper Imogen Poots, street race super cars super speed car based on video game duringcreditsstinger 3d
22981,136797,Need for Speed,/lN0mP3BNaKirkKl6FJ0yL0wmjSJ.jpg,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",66000000, Action Crime Drama Thriller,2014-03-13,18.271383,203277636.0,Andrew Fleming, Evan Rachel Wood Scott Speedman J.K. Simmons, naivety remake family
22982,242042,Barefoot,/m8iFS5IW1LSEX0and2FEWzy6GCX.jpg,"The ""black sheep"" son of a wealthy family meets a young psychiatric patient who's been raised in isolation her entire life. He takes the naive young woman home for his brother's wedding an improbable romance blooms, as she impresses everyone with her genuine, simple charms.
 Remake of the German film ""Barfuss"" (2005).",6000000, Comedy Drama Romance,2014-02-02,5.939334,15071.0,Anne Fontaine, Benoît Poelvoorde Isabelle Carré Jonathan Zaccaï, woman director
22985,177494,Veronica Mars,/nS3L07mQfcNJcisLEKgi8fWoBS1.jpg,"Years after walking away from her past as a teenage private eye, Veronica Mars gets pulled back to her hometown - just in time for her high school reunion - in order to help her old flame Logan Echolls, who's embroiled in a murder mystery.",6000000, Comedy Drama Crime,2014-03-13,7.510159,3485127.0,Corey Yuen Kwai, Stephen Chow Sharla Cheung Man Ng Man-Tat,
22994,209403,Bad Words,/cEnpV3XLvgTp3eVXhY2eyQKZk4r.jpg,"A misanthropic man sets out to exact revenge on his estranged father, by finding a loophole and attempting to win the National Spelling Bee as an adult. Figuring it would destroy his father, and everything he's worked so hard for as head of the Spelling Bee Championship Organization, Guy Trilby (Jason Bateman) eventually discovers winning isn't necessary for revenge, and that friendship is a blessing not a curse.",9500000, Comedy,2013-09-06,5.847166,7800000.0,Christopher Spencer, Roma Downey Diogo Morgado Louise Delamere, biography resurrection
22995,235260,Son of God,/xyFaNh1IGdHEJbuLdba6a7GxLzP.jpg,"The life story of Jesus is told from his humble birth through his teachings, crucifixion and ultimate resurrection.",22000000, Drama,2014-02-28,6.477292,67800064.0,Petra Epperlein, 'Crazy' Tim Credeur Gil 'The Thrill' Guillory Dustin 'The Diamond' Poirier, woman director
23006,96920,მონანიება,/3wowQwfuJQgirima1D4gJU5V7UC.jpg,"The day after the funeral of Varlam Aravidze, the mayor of a small Georgian town, his corpse turns up in his son's garden.  Although it is secretly reburied, the corpse keeps returning until the police capture the local woman who is responsible.  This woman says that Varlam should never be laid to rest since his Stalin-like reign of terror led to the disappearance of her family and friends.",0, Drama,1984-06-30,0.933995,215496.0,Fernando Trueba, Jean Rochefort Aida Folch Claudia Cardinale,
23030,46460,Wanda Nevada,/rq97yXRpqigVanFUkrg5RXYLenm.jpg,"In the American Southwest of the 1950s, middle-aged vagabond Beaudray Demerille survives as a cardsharp who moves from town to town. But his latest victory brings him unwanted spoils in the form of Wanda Nevada, a fiery 13-year-old. At first Beaudray does everything he can to ditch Wanda -- until the girl chances upon a treasure map. But Wanda and Beaudray aren't the only ones after the loot, and they must contend with a ruthless pair of crooks.",0, Drama,1979-06-01,1.267946,2411145.0,Edward Dmytryk, George Kennedy John Mills Raf Vallone, revenge murder family retribution
23033,164184,"Bless Me, Ultima",/kYUcvI4RUzimerSP7cCCPuISVBb.jpg,"In a village in New Mexico, the life of young farm boy Antonio is dramatically changed when an old medicine woman joins his household. This affecting coming-of-age tale recounts Antonio's experiences to reveal the spiritual conflict in his community.",0, Drama War,2013-02-22,0.779768,1553826.0,Frank McDonald, Glenda Farrell Barton MacLane Tom Kennedy, scoop torchy blane
23037,192577,キャプテンハーロック,/lB3movQFEgRZQWeZtCceLhUiIQj.jpg,Space Pirate Captain Harlock and his fearless crew face off against the space invaders who seek to conquer the planet Earth.,30000000, Animation Science Fiction,2013-09-07,7.857666,17137302.0,Olaf Kreinsen, Alwara Höfels Sophie Schütt Hildegard Krekel,
23049,16167,From Within,/kNpzqu87o2bwr3lQ7h3mWz7sloc.jpg,The residents of a small American town begin to die one-by-one apparently by suicide...,0, Horror Mystery Thriller,2009-03-31,3.215954,66456.0,William A. Graham, James Caan Johnathon Schaech Lisa Lackey, suspense
23053,100402,Captain America: The Winter Soldier,/5TQ6YDmymBpnF005OyoB7ohZps9.jpg,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",170000000, Action Adventure Science Fiction,2014-03-20,18.717704,714766572.0,Erik Skjoldbjærg, Wes Bentley Stephen Lang Aksel Hennie, deep sea scuba diving deepsea
23057,209276,Starred Up,/cP5vXTItgkNahGEsaIHudbdIDRG.jpg,"19-year-old Eric, arrogant and ultra-violent, is prematurely transferred to the same adult prison facility as his estranged father. As his explosive temper quickly finds him enemies in both prison authorities and fellow inmates — and his already volatile relationship with his father is pushed past breaking point — Eric is approached by a volunteer psychotherapist, who runs an anger management group for prisoners. Torn between gang politics, prison corruption, and a glimmer of something better, Eric finds himself in a fight for his own life, unsure if his own father is there to protect him or join in punishing him.",0, Drama,2013-09-09,7.047117,54915.0,Travis Long, Michael Swaim Jacob Reed Beck Bennett,
23062,86834,Noah,/5wioUjzwr91fvq7ydunxK2CPSxi.jpg,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,125000000, Drama Adventure,2014-03-20,14.924487,362637473.0,Peter Lepeniotis, Will Arnett Katherine Heigl Brendan Fraser, squirrel 3d
23080,173455,Mistaken for Strangers,/aaclaq77XIBEGF3D7iEwsbjXGOR.jpg,"Mistaken for Strangers follows The National on its biggest tour to date. Newbie roadie Tom (lead singer Matt Berninger’s younger brother) is a heavy metal and horror movie enthusiast, and can't help but put his own spin on the experience. Inevitably, Tom’s moonlighting as an irreverent documentarian creates some drama for the band on the road. The film is a hilarious and touching look at two very different brothers, and an entertaining story of artistic aspiration.",0, Documentary Music,2013-09-19,0.063568,137460.0,Joanna Arnow,, woman director
23083,63143,Blank City,/39H0eK7kl5dBB62FYJa6E2akKrQ.jpg,"In the years before Ronald Reagan took office, Manhattan was in ruins. But true art has never come from comfort, and it was precisely those dire circumstances that inspired artists like Jim Jarmusch, Lizzy Borden, and Amos Poe to produce some of their best works. Taking their cues from punk rock and new wave music, these young maverick filmmakers confronted viewers with a stark reality that stood in powerful contrast to the escapist product being churned out by Hollywood.",0, Documentary,2011-04-06,0.31754,99303.0,Jorge Montesi, Margot Kidder Allan Royal Ashleigh Ann Wood, lgbt
23090,142159,Across to Singapore,/4YMT3DMhJBRmOSM69gD1spbg6SZ.jpg,"While Joel and his older ship's captain brother Mark are at sea, the latter is abandoned in Singapore by devious ship's mate Finch who, upon their return, convinces the townspeople that Joel abandoned his brother. Joel, determined to not only find Mark but to see justice done, returns the ship to Singapore.",290000, Adventure Drama,1928-04-07,0.140491,596000.0,Tom Reeve, James Purefoy Piper Perabo Patrick Swayze, swordplay hero sword dragon
23103,253239,Diplomatie,/rewX3kovBwqmuxjpZTPb9ghSFJa.jpg,"The night of August 24, 1944. The fate of Paris is in the hands of General von Choltitz, governor of Grand Paris, who is preparing, on Hitler’s orders, to blow up the French capital. The descendent of a long line of Prussian military men, the general has never had any hesitation when it came to obeying orders. This is what’s on Swedish consul Raoul Nordling’s mind as he takes the secret staircase that leads to General von Choltitz’s suite at the Hôtel Meurice. The bridges on the Seine and the major monuments of Paris (including the Louvre, Notre Dame, the Eiffel Tower) are mined with explosives, ready to be detonated. Armed with all the weapons of diplomacy, the consul will try to convince the general not to follow Hitler’s order of destruction.",0, Drama,2014-03-05,3.848346,3946880.0,Pascal Thomas, Catherine Frot André Dussollier Geneviève Bujold,
23108,155084,13 Sins,/uYPy89cVgvE1ic0bN39YJrumxwo.jpg,"A bright but meek salesman, drowning in debt as he's about to get married, receives a mysterious phone call informing him that he's on a hidden camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.",5000000, Horror Thriller,2014-04-18,9.067788,13809.0,Amy Grappell, Sonny Carl Davis David Zellner Nathan Zellner, woman director
23110,188207,The Legend of Hercules,/eIHrBHeqfQodgEjSPdZWh9b5lV3.jpg,"In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit.",70000000, Action Adventure,2014-01-10,6.599539,61279452.0,James Bobin, Ricky Gervais Ty Burrell Tina Fey, musical the muppets
23111,145220,Muppets Most Wanted,/bxDby1r6WW3HyWzA9vd8uCMG9E6.jpg,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",50000000, Comedy Adventure Crime Family,2014-03-20,7.244956,80383290.0,Beth McCarthy-Miller,, stand-up comedy woman director
23118,192134,Dom Hemingway,/z4yQiTC3EfwVPzVuBqjOELtfo3f.jpg,"After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.",0, Comedy Crime Drama,2013-11-15,5.713974,523511.0,Rithy Panh,, cambodia genocide clay khmer rouge claymation
23119,186997,L'image manquante,/59tPtQKJMZqjIrS6Qrb2mhmq9Uc.jpg,"Rithy Panh uses clay figures, archival footage, and his narration to recreate the atrocities Cambodia's Khmer Rouge committed between 1975 and 1979.",0, Documentary,2014-03-19,1.568839,52164.0,Howard Deutch, Brad Garrett Saul Rubinek Gretchen Egolf, biography
23123,215743,뫼비우스,/846IA8JHcN5NeNOgRao2enFwCd2.jpg,"A wife, overwhelmed with hatred for her husband, inflicts an unspeakable wound on their son, as the family heads towards horrific destruction.",0, Drama,2013-09-05,4.333617,2340.0,Steven Spielberg,,
23126,190955,Blood Ties,/b92dNX0BYxGAroKuR98I2qn9vwy.jpg,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",25500000, Thriller Crime Drama,2013-08-22,14.934555,2415472.0,David Wnendt, Carla Juri Axel Milberg Meret Becker, sex body cult female masturbation
23137,110112,Nitro Circus: The Movie,/158atB3JPFOJ75hUPsP0Nb7oYRN.jpg,"You will see Travis Pastrana and the whole Nitro Circus crew perform some of the most ridiculous, awe-inspiring, and simply insane stunts ever caught on camera. Coming to you in three dimensional glory, it will feel like you are there sitting shotgun with the crew.",0, Action Comedy,2012-08-08,4.40284,3903479.0,Errol Morris, Donald Rumsfeld Kenn Medeiros Errol Morris,
23139,138222,Best Man Down,/2akSCt635Bp4tX94DYybRpnTkzk.jpg,"A newlywed couple cancels their honeymoon and returns to the snowy Midwest to make the funeral arrangements for their best man, who died unexpectedly after their ceremony.",1500000, Comedy Drama,2012-10-20,5.875708,1938.0,Joseph Kane, Gene Autry Smiley Burnette Judith Allen, horse race bugle
23158,193612,The Quiet Ones,/dlMln6CldiB5pt9vSSJBiNL83bh.jpg,"A university student and some classmates are recruited to carry out a private experiment -- to create a poltergeist. Their subject: an alluring, but dangerously disturbed young woman. Their quest: to explore the dark energy that her damaged psyche might manifest. As the experiment unravels along with their sanity, the rogue PHD students, led by their determined professor, are soon confronted with a terrifying reality: they have triggered an unspeakable force with a power beyond all explanation.",200000, Horror,2014-04-01,6.322844,17834867.0,Ivan Reitman, Kevin Costner Jennifer Garner Tom Welling, sport duringcreditsstinger
23159,200505,Draft Day,/pb5FXL6pypVQbcs3TCzp5GqyTYr.jpg,"At the NFL Draft, general manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.",25000000, Drama,2014-04-11,5.596449,28831145.0,Anthony Lucas, Joel Edgerton Helmut Bakaitis Tommy Dysart, steampunk
23163,191294,Vi är bäst!,/sS01LSy6KDrCZAhtkO18UdnWFT1.jpg,Three girls in 1980s Stockholm decide to form a punk band -- despite not having any instruments and being told by everyone that punk is dead.,0, Drama Music,2013-03-28,3.727996,180590.0,Evelyn Purcell, Gina Gershon Michael Biehn Sean Patrick Flanery, woman director
23170,180299,The Raid 2: Berandal,/q3ihLHxBP2TmzejiRDaWbnfARgP.jpg,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",4500000, Action Crime Thriller,2014-03-27,8.434884,2627209.0,Sean Ellis, Jake Macapagal John Arcilla Althea Vega, philippines security guard farmer
23187,102382,The Amazing Spider-Man 2,/mUjWof8LHDgCZC9mFp0UYKBf1Dm.jpg,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",200000000, Action Adventure Fantasy,2014-04-16,26.23687,705717432.0,Pier Paolo Pasolini,,
23200,157547,Oculus,/ic8C94ylSfcoLkXqPOKzL6DqPcH.jpg,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,5000000, Horror,2013-09-08,8.698043,44030246.0,Henry Hathaway, Charles Laughton David Wayne Marilyn Monroe, bum based on short story o. henry episode film
23205,249660,God's Not Dead,/a4QdH1RG6jvzZ1SLmCI7vaDD9Ez.jpg,"College philosophy professor Mr. Radisson's curriculum is challenged by his new student, Josh, who believes God exists.",17000000, Drama,2014-03-21,6.097499,29789000.0,Kevin O'Neill, Eric Balfour Aarón Díaz Iva Hasperger, shark
23208,244509,Cold in July,/zotsAuntzSFECpDWfkIWePcIJOq.jpg,"How can a split-second decision change your life? While investigating noises in his house one balmy Texas night in 1989, Richard Dane puts a bullet in the brain of low-life burglar Freddy Russell. Although he’s hailed as a small-town hero, Dane soon finds himself fearing for his family’s safety when Freddy’s ex-con father, Ben, rolls into town, hell-bent on revenge.",0, Drama Thriller,2014-05-23,7.327216,427418.0,James V. Kern, Robert Young Betsy Drake John Sutton, classic noir film noir
23212,50767,American Cyborg: Steel Warrior,/l08LowJTVZnFWywSa8q3TTXxRJI.jpg,"After the nuclear war people are sterile and ruled by the artifical intelligences they created in this violent world. The only woman who was able to give life to a child has to take the child through the dangerous city to the ship to save it. She is followed by an immortal killer robot through all the dangers, and only one guy tries to help her survive and protect her from the killing machine.",0, Action Adventure Science Fiction,1994-01-07,0.56257,447784.0,Jack Conway, John Barrymore Lionel Barrymore Karen Morley, mona lisa thief arsene lupin
23216,197796,La Belle et la Bête,/60nCGtU0z7569et1Ol2WUCmCMeg.jpg,"Beauty and the Beast is the adaptation of a story by Madame de Villeneuve. Published anonymously in 1740 as La Jeune Américaine et les contes marins, it paints a portrait of Belle, a joyful and touching young girl who falls in love with the Beast, a cursed creature in search of love and redemption. In 1760, a condensed children’s version was published. It was from this version that Jean Cocteau and then Walt Disney drew their famous adaptations. Overshadowed, the original version by Madame de Villeneuve has never been adapted for the screen... until now!",33000000, Fantasy Romance,2014-02-12,19.628834,49100000.0,Satoshi Isaka, Naohito Fujiki Yukie Nakama Ryûdô Uzaki, ransom kidnapping ransom demand
23224,172385,Rio 2,/jZcF7xZVvrX2A4qNOqeHpmtbdBT.jpg,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law.",103000000, Animation Adventure Comedy Family,2014-03-19,8.18534,500188435.0,Tyler Measom, James Randi Adam Savage Bill Nye, magic fraud biography paranormal psychic skeptic
23233,214030,Fading Gigolo,/zknfk3A2CWbqfh2y4QcqaTTtbXA.jpg,"Fioravante decides to become a professional Don Juan as a way of making money to help his cash-strapped friend, Murray. With Murray acting as his ""manager"", the duo quickly finds themselves caught up in the crosscurrents of love and money.",0, Comedy,2013-09-07,9.596119,2681345.0,Wally Pfister, Johnny Depp Paul Bettany Rebecca Hall, artificial intelligence technology nanotechnology computer virus super computer resurrection love mind control terrorism scientist extremist moral dilemma computer scientist mind transfer quantum computer mind uploading
23234,157353,Transcendence,/4eESVBvr7KEvPGUZVL5LDWsANda.jpg,"Two leading computer scientists work toward their goal of Technological Singularity,  as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.",100000000, Thriller Science Fiction Drama Mystery,2014-04-16,9.730176,103039258.0,Jack Gold, Nicol Williamson Ann Bell Lilita De Barros, based on novel
23239,236751,Heaven is for Real,/70CMoPOVPRzBmZiW0DXSU8Yvukt.jpg,"Heaven is for Real recounts the true story of a small-town father who must find the courage and conviction to share his son's extraordinary, life-changing experience with the world. Four-year-old Colton shares the details of his amazing journey with childlike innocence and speaks matter-of-factly about things that happened before his birth... things he couldn't possibly know.",12000000, Drama,2014-04-16,7.88371,101332962.0,Robert Carl Cohen, Margaretta Ramsey Dale Davis Theodore Charach,
23245,193610,The Other Woman,/fu7K3rPwJcScizlXbxWAR7ZoUxt.jpg,"After discovering her boyfriend is married, Carly soon meets the wife he's been cheating on. And when yet another affair is discovered, all three women team up to plot mutual revenge on the three-timing SOB.",40000000, Comedy Romance,2014-04-16,9.389354,196781193.0,Michael Tiddes, Marlon Wayans Jaime Pressly Essence Atkins, haunted house
23253,209350,Le Week-End,/prXVssvfnzAvKpdAfKunjdAouNa.jpg,"Nick and Meg Burrows return to Paris, the city where they honeymooned, to celebrate their 30th wedding anniversary and rediscover some romance in their long-lived marriage. The film follows the couple as long-established tensions in their marriage break out in humorous and often painful ways.",0, Comedy Drama,2013-10-04,3.74133,2225098.0,Tomoyuki Takimoto, Shota Matsuda Takashi Tsukamoto Riko Narumi,
23263,254473,Brick Mansions,/v6M79FGu0G9KSR7bvXL76NbwyqC.jpg,"In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",28000000, Action Crime Drama,2014-04-22,7.482959,68896829.0,Atom Egoyan, Reese Witherspoon Colin Firth Mireille Enos, biography based on true story
23276,210479,Locke,/2Prgt4JXhwiwkgotknBO4scXR8S.jpg,"Ivan Locke has worked hard to craft a good life for himself. Tonight, that life will collapse around him. On the eve of the biggest challenge of his career, Ivan receives a phone call that sets in motion a series of events that will unravel his family, job, and soul.",2000000, Drama Thriller,2014-04-10,12.792394,4635300.0,Tokuzô Tanaka, Raizô Ichikawa Ayako Wakao Saburo Date, japanese samurai siege ninja samurai era
23289,76649,Pompeii,/idiv0IxVhVSDW8cWxfprYyY5Yev.jpg,"Set in 79 A.D., POMPEII tells the epic story of Milo, a slave turned invincible gladiator who finds himself in a race against time to save his true love Cassia, the beautiful daughter of a wealthy merchant who has been unwillingly betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts in a torrent of blazing lava, Milo must fight his way out of the arena in order to save his beloved as the once magnificent Pompeii crumbles around him.",130000000, Action Adventure History Romance Drama,2014-02-18,12.204174,117831631.0,Géraldine Nakache, Leïla Bekhti Géraldine Nakache Audrey Lamy,
23309,195589,Neighbors,/bpj8myebvnTw5HDmzTSI8N6WFYr.jpg,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,18000000, Comedy,2014-05-08,11.90575,268157400.0,Fredrik Edfeldt, Blanca Engström Shanti Roney Annika Hallin, countryside summer young girl childhood home alone 1980s
23324,49158,Tentacoli,/lJbYHfdoWGOAFCWCgOB9G4Xw50S.jpg,"Several people disappear from and at the sea. Their bodies are found gnawed to the skeleton, even the marrow is missing. The scientists have no idea which animal could do such things. Dr. Turner begins to suspect that the company which builds a tunnel beneath the bay might have poisoned the environment and caused an octopus to mutate to giant dimensions...",750000, Thriller Horror Science Fiction,1977-02-25,0.950176,3000000.0,Frank Pavich, Alejandro Jodorowsky Michel Seydoux H.R. Giger, film business film maker drama dune documentary science fiction director filmmaking alejandro jodorowsky
23328,174316,A Case of You,/88LARDAx2qwlg6wfdNkGH1t31Dn.jpg,"Young writer Sam has a crush on Birdie, the cute and quirky barista at his local coffee shop. When his conventional attempts to woo her crash and burn, he takes his efforts online, creating an Internet profile embellished with all of the details that would make him Birdie’s dream guy. When the harebrained scheme is a surprise success and Birdie falls for his exaggerated alter ego, Sam must keep up the act or lose his dream girl forever.",0, Comedy Romance,2013-11-06,5.819403,4187.0,Kazuo Mori, Shintarô Katsu Mieko Kondo Tôru Abe,
23330,205601,Belle,/r0Vp6yjsKD41xF1h6lzRztgV201.jpg,"BELLE is inspired by the true story of Dido Elizabeth Belle, the illegitimate mixed race daughter of a Royal Navy Admiral. Raised by her aristocratic great-uncle Lord Mansfield and his wife, Belle's lineage affords her certain privileges, yet the color of her skin prevents her from fully participating in the traditions of her social standing. Left to wonder if she will ever find love, Belle falls for an idealistic young vicar's son bent on change who, with her help, shapes Lord Mansfield's role as Lord Chief Justice to end slavery in England",10900000, Drama,2013-09-08,13.454169,16505460.0,James Gray, Marion Cotillard Jeremy Renner Joaquin Phoenix, new york corruption sister sister relationship magic immigrant nudity nightmare ship quarantine love murder money escape doctor prostitution poland illness
23331,152599,The Immigrant,/s1KTOHIQkn78NT74bz7pmxM6c7x.jpg,An innocent immigrant woman is tricked into a life of burlesque and vaudeville until a dazzling magician tries to save her and reunite her with her sister who is being held in the confines of Ellis Island.,16000000, Drama Romance,2013-07-03,6.985915,5867686.0,Vassiliki Khonsari,,
23333,19703,अ वेडनसडे,/5w5HpAXMRty6YBxx6GjPAk0CuMN.jpg,"Mumbai, the financial capital of India, the city that never sleeps, the city of dreams, fast paced and ever changing, home to Bollywood! A City of beauty but also a city that got scarred! A city whose foundation is slowly crumbling beneath its façade of invincibility! 'A Wednesday!' tells the story of certain events that unfold between 2.P.M and 6 P.M on a particular Wednesday in this city.",1400000, Action Drama,2008-09-05,3.143929,3500000.0,Ferdinando Baldi, Tony Anthony Ringo Starr Lloyd Battista, gunslinger mail order bride blind spaghetti western
23337,38980,The Wild Life,/psk04ZRqoLYnCABPanZon237ro4.jpg,"Eighties teen romp involving Bill and his new apartment, Jim and his rebellious antics, Tom and his crazy self, and Anita with her older man David.",0, Comedy,1984-09-28,7.093984,9500000.0,David Wnendt, Alina Levshin Jella Haase Sayed Ahmad, refugee ideology racism combat hate neo nazi neo nazism
23349,252680,Moms' Night Out,/7h5QMgS3mjkeW07Oe5oC3v16uAZ.jpg,"Yearning for an evening without their kids, some friends plan a night out. But to do this, their husbands need to watch the kids. What can go wrong?",5000000, Comedy,2014-03-25,6.127302,10429707.0,Sam Fischer	, Jonathan Bennett James Cromwell Jackson Bond, military weapons warbird insurgent army national guard shrapnel war souvenir 1940s
23358,240832,Lucy,/rwn876MeqienhOVSSjtUPnwxn0Z.jpg,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",40000000, Action Science Fiction,2014-07-14,36.447603,126546825.0,Bryan Singer, Hugh Jackman James McAvoy Michael Fassbender, 1970s mutant time travel marvel comic based on comic superhuman storm beast aftercreditsstinger changing the past or future
23359,127585,X-Men: Days of Future Past,/giUK8ppRbfistadVzHtpainkhq4.jpg,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,250000000, Action Adventure Fantasy Science Fiction,2014-05-15,26.058586,747862775.0,Gareth Edwards, Aaron Taylor-Johnson Ken Watanabe Elizabeth Olsen, monster godzilla remake giant monster gojira kaiju global threat animal horror
23360,124905,Godzilla,/szVwkB4H5yyOJBVuQ432b9boO0N.jpg,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when Godzilla, King of the Monsters, arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",160000000, Action Science Fiction Thriller,2014-05-14,14.019239,529076069.0,Sam Wood, Joan Crawford Robert Armstrong Marie Prevost, mona lisa revenge female prisoner
23364,187596,Walk of Shame,/5TGX6do5nemPYyHCptjqHzU4HfR.jpg,"A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.",15000000, Comedy,2014-05-02,7.844705,59209.0,Daniel Farrands, Corey Feldman Robert Englund Kane Hodder, jason voorhees
23367,188166,Blue Ruin,/jspgd5F60RH8sKFfuvVW5jVL1F0.jpg,The quiet life of a beach bum is upended by dreadful news. He sets off for his childhood home to carry out an act of vengeance but proves an inept assassin and finds himself in a brutal fight to protect his estranged family.,0, Crime Thriller,2014-04-25,11.509412,258384.0,Gia Coppola, Emma Roberts Jack Kilmer Nat Wolff, based on novel high school soccer teenager older man younger woman relationship teenage sexuality woman director
23377,59981,Legends of Oz: Dorothy's Return,/hkYhAxbDmGctgaqo6EHKQMb79PM.jpg,"Dorothy wakes up in post-tornado Kansas, only to be whisked back to Oz to try to save her old friends the Scarecrow, the Lion, the Tin Man and Glinda from a devious new villain, the Jester. Wiser the owl, Marshal Mallow, China Princess and Tugg the tugboat join Dorothy on her latest magical journey through the colorful landscape of Oz to restore order and happiness to Emerald City.",70000000, Animation Music Family,2013-06-13,6.660309,18662027.0,Malcolm Clarke, Alice Herz Sommer Zdenka Fantlova Anita Lasker-Wallfisch, short
23379,212778,Chef,/dwweMX2MqYOYGg2Z2lZ8f6uopcg.jpg,"When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love.",11000000, Comedy,2014-05-08,8.720309,45967935.0,Ted V. Mikels, Michael Ansara Francine York Anthony Eisley, spy
